Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Danny Ainge,G,6-4,175,Boston Celtics,Eastern All-Star Coaches Selection,1981 Rnd 2 Pick 8,United States
Charles Barkley,PF,6-6,252,Philadelphia Sixers,Eastern All-Star Coaches Selection,1984 Rnd 1 Pick 5,United States
Larry Bird,SF,6-9,220,Boston Celtics,Eastern All-Star Fan Vote Selection,1978 Rnd 1 Pick 6,United States
Mo Cheeks,PG,6-1,180,Philadelphia Sixers,Eastern All-Star Coaches Selection,1978 Rnd 2 Pick 14,United States
Brad Daugherty,C,7-0,245,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1986 Rnd 1 Pick 1,United States
Patrick Ewing,C,7-0,240,New York Knicks,Eastern All-Star Coaches Selection,1985 Rnd 1 Pick 1,United States Jamaica
Michael Jordan,SG,6-6,215,Chicago Bulls,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
Moses Malone,C,6-10,215,Washington Bullets,Eastern All-Star Fan Vote Selection,"1975 NBA Draft, Undrafted",United States
Kevin McHale,PF,6-10,210,Boston Celtics,Eastern All-Star Coaches Selection,1980 Rnd 1 Pick 3,United States
Doc Rivers,G,6-4,185,Atlanta Hawks,Eastern All-Star Coaches Selection,1983 Rnd 2 Pick 7,United States
Isiah Thomas,PG,6-1,180,Detroit Pistons,Eastern All-Star Fan Vote Selection,1981 Rnd 1 Pick 2,United States
Dominique Wilkins,SF,6-7,200,Atlanta Hawks,Eastern All-Star Fan Vote Selection,1982 Rnd 1 Pick 3,United States
