"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Anfernee Hardaway","ORL","31:00","6","8","2","4","4","4","0","3","3","7","2","0","3","0","18",".750",".500","1.000"
"Shaquille O'Neal","ORL","28:00","10","16","0","0","5","11","3","7","10","1","1","2","1","3","25",".625","",".455"
"Grant Hill","DET","26:00","6","10","0","0","2","2","1","2","3","2","1","0","2","1","14",".600","","1.000"
"Scottie Pippen","CHI","25:00","4","7","0","1","0","0","2","6","8","5","3","0","6","0","8",".571",".000",""
"Michael Jordan","CHI","22:00","8","11","0","0","4","4","1","3","4","1","1","0","0","1","20",".727","","1.000"
"","","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Totals","Shooting","Shooting","Shooting"
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Terrell Brandon","CLE","20:00","4","10","1","4","2","2","1","0","1","3","1","1","3","1","11",".400",".250","1.000"
"Reggie Miller","IND","18:00","4","8","0","4","0","0","0","2","2","2","1","0","1","2","8",".500",".000",""
"Juwan Howard","WSB","16:00","1","5","0","0","0","0","4","2","6","2","1","0","0","3","2",".200","",""
"Glen Rice","CHH","15:00","1","5","1","2","4","4","0","1","1","2","0","0","2","2","7",".200",".500","1.000"
"Vin Baker","MIL","14:00","2","5","0","0","2","2","1","1","2","2","1","0","0","4","6",".400","","1.000"
"Alonzo Mourning","MIA","13:00","1","6","0","0","0","0","0","1","1","0","0","1","2","2","2",".167","",""
"Patrick Ewing","NYK","12:00","3","7","0","0","2","2","1","2","3","1","3","1","0","2","8",".429","","1.000"
"Team Totals","","240","50","98","4","15","25","31","14","30","44","28","15","5","20","21","129",".510",".267",".806"
