Player,Position,Weight,Team,Nationality,Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1989,West,Replacement,7,2,86,1969.0,1.0,1.0
Tom Chambers,PF,220,Phoenix Suns,United States,1989,West,Coaches,6,10,82,1981.0,1.0,8.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1989,West,Coaches,7,0,84,1986.0,2.0,9.0
Mark Eaton,C,275,Utah Jazz,United States,1989,West,Coaches,7,4,88,1979.0,5.0,19.0
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983.0,1.0,9.0
Alex English,SF,190,Denver Nuggets,United States,1989,West,Fans,6,7,79,1976.0,2.0,6.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1989,West,Fans,6,9,81,1979.0,1.0,1.0
Karl Malone,PF,265,Utah Jazz,United States,1989,West,Fans,6,9,81,1985.0,1.0,13.0
Chris Mullin,SF,215,Golden State Warriors,United States,1989,West,Coaches,6,7,79,1985.0,1.0,7.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1989,West,Fans,7,0,84,1984.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,1989,West,Coaches,6,1,73,1984.0,1.0,16.0
James Worthy,SF,225,Los Angeles Lakers,United States,1989,West,Coaches,6,9,81,1982.0,1.0,1.0
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1989,Western,Replacement,7,2,86,1969.0,1.0,1.0
Tom Chambers,PF,220,Phoenix Suns,United States,1989,West,Coaches,6,10,82,1981.0,1.0,8.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1989,West,Coaches,7,0,84,1986.0,2.0,9.0
Mark Eaton,C,275,Utah Jazz,United States,1989,West,Coaches,7,4,88,1979.0,5.0,19.0
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983.0,1.0,9.0
