"Team","Q1","Q2","Q3","Q4","OT","T","Year"
"East",28,36,44,20,16,144,1980
"West",37,27,27,37,16,136,1980
"East",23,38,36,26,0,123,1981
"West",27,31,30,32,0,120,1981
"East",34,29,27,30,0,120,1982
"West",39,22,28,29,0,118,1982
"East",42,27,34,29,0,132,1983
"West",31,33,26,33,0,123,1983
"East",32,30,37,33,22,154,1984
"West",40,36,31,25,22,145,1984
"West",40,28,29,43,0,140,1985
"East",35,33,24,37,0,129,1985
"East",34,35,31,39,0,139,1986
"West",36,30,36,30,0,132,1986
"West",29,41,30,40,14,154,1987
"East",33,32,42,33,14,149,1987
"East",27,33,39,39,0,138,1988
"West",32,22,35,44,0,133,1988
"West",47,40,24,32,0,143,1989
"East",31,28,37,38,0,134,1989
"East",40,25,35,30,0,130,1990
"West",23,29,31,30,0,113,1990
"East",22,45,27,22,0,116,1991
"West",23,35,34,22,0,114,1991
"West",44,35,36,38,0,153,1992
"East",31,24,28,30,0,113,1992
"West",27,30,29,33,16,135,1993
"East",26,26,32,35,16,132,1993
"East",33,39,29,26,0,127,1994
"West",28,36,26,28,0,118,1994
"West",31,41,32,35,0,139,1995
"East",28,28,25,31,0,112,1995
"East",33,28,41,27,0,129,1996
"West",32,26,22,38,0,118,1996
"East",21,36,40,35,0,132,1997
"West",34,26,27,33,0,120,1997
"East",33,34,34,34,0,135,1998
"West",25,33,33,23,0,114,1998
"West",33,31,35,38,0,137,2000
"East",26,33,38,29,0,126,2000
"East",17,33,20,41,0,111,2001
"West",30,31,28,21,0,110,2001
"West",32,40,28,35,0,135,2002
"East",24,31,22,43,0,120,2002
"West",18,37,31,34,18,155,2003
"East",23,29,41,27,18,145,2003
"West",31,27,45,33,0,136,2004
"East",33,31,37,31,0,132,2004
"East",27,34,34,30,0,125,2005
"West",33,26,30,26,0,115,2005
"East",28,25,41,28,0,122,2006
"West",28,42,27,23,0,120,2006
"West",39,40,40,34,0,153,2007
"East",31,28,29,44,0,132,2007
"East",34,40,32,28,0,134,2008
"West",28,37,28,35,0,128,2008
"West",34,38,38,36,0,146,2009
"East",27,40,24,28,0,119,2009
"East",37,39,42,23,0,141,2010
"West",34,35,40,30,0,139,2010
